"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Zmieniono ustawienie maszyny wirtualnej zapory funkcji Hyper-V. 
Kod b??du: 	0
?r?d?o:	7
Identyfikator tw?rcy maszyny wirtualnej: 	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Ustawienie:	W??cz sprz??enie zwrotne
	Warto??:	1
	Modyfikowanie elementu User:	S-1-5-18
	Modyfikowanie elementu Application:	C:\Windows\System32\wbem\WmiPrvSE.exe","2088","0",,"4","0","0","-9223372036854775808","14598","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Tw?rca maszyny wirtualnej funkcji Hyper-V zosta? zarejestrowany w us?udze zapory.

Kod b??du: 	183
Identyfikator: 	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Przyjazna nazwa:	WSL","2095","0",,"4","0","0","-9223372036854775808","14597","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Prywatne zosta?o zmienione.
Nowe ustawienie:
	Typ:	?cie?ka do pliku dziennika
	Warto??:	C:\Windows\System32\LogFiles\Firewall\pfirewall.log
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14596","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:39:12",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Domena zosta?o zmienione.
Nowe ustawienie:
	Typ:	?cie?ka do pliku dziennika
	Warto??:	C:\Windows\System32\LogFiles\Firewall\pfirewall.log
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14595","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","95892","Asia","S-1-5-19","4.01.2025 14:39:12",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Publiczne zosta?o zmienione.
Nowe ustawienie:
	Typ:	?cie?ka do pliku dziennika
	Warto??:	C:\Windows\System32\LogFiles\Firewall\pfirewall.log
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14594","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","95892","Asia","S-1-5-19","4.01.2025 14:39:12",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Prywatne zosta?o zmienione.
Nowe ustawienie:
	Typ:	Rejestruj udane po??czenia
	Warto??:	Tak
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14593","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","63540","Asia","S-1-5-19","4.01.2025 14:39:01",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Prywatne zosta?o zmienione.
Nowe ustawienie:
	Typ:	Rejestruj porzucone pakiety
	Warto??:	Tak
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14592","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","64888","Asia","S-1-5-19","4.01.2025 14:39:01",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Publiczne zosta?o zmienione.
Nowe ustawienie:
	Typ:	Rejestruj udane po??czenia
	Warto??:	Tak
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14591","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","6472","Asia","S-1-5-19","4.01.2025 14:39:00",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Publiczne zosta?o zmienione.
Nowe ustawienie:
	Typ:	Rejestruj porzucone pakiety
	Warto??:	Tak
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14590","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","6472","Asia","S-1-5-19","4.01.2025 14:39:00",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Domena zosta?o zmienione.
Nowe ustawienie:
	Typ:	Rejestruj udane po??czenia
	Warto??:	Tak
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14589","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","39264","Asia","S-1-5-19","4.01.2025 14:39:00",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
